Pressure,Temperature,Density,NG_TYPE,Methane,Ethane,Propane,2-methylpropane,Butane,2-metylbutane,Pentane,Octane,Toluene,Methylcyclopentane,Nitrogen,Carbon  Dioxide
35,360,223.37,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
40,360,242.49,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
45,360,258.92,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
50,360,273.23,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
55,360,285.85,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
60,360,297.1,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
65,360,307.24,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
10,370,68.04,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
15,370,103.55,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
20,370,137.15,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
25,370,167.2,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
30,370,193.22,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
35,370,215.52,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
40,370,234.67,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
45,370,251.24,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
50,370,265.74,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
55,370,278.55,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
60,370,290.0,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
65,370,300.33,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
10,380,65.53,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
15,380,99.42,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
20,380,131.6,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
25,380,160.66,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
30,380,186.12,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
35,380,208.18,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
40,380,227.29,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
45,380,243.94,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
50,380,258.56,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
55,380,271.54,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
60,380,283.15,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
65,380,293.65,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
10,390,63.24,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
15,390,95.68,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
20,390,126.56,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
25,390,154.68,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
30,390,179.56,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
35,390,201.32,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
40,390,220.33,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
45,390,236.99,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
50,390,251.71,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
55,390,264.8,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
60,390,276.56,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
65,390,287.2,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
10,400,61.14,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
